cnpj;dt_abertura;de_cnae_principal;de_ramo_atividade;de_setor;endereco_municipio;endereco_uf;endereco_regiao;situacao_cadastral;empresa_porte;optante_simples;optante_simei;nivel_atividade;saude_tributaria
37412679000136;2020-06-15;ATIVIDADES DE PSICOLOGIA E PSICANALISE;SERVICOS DE SAUDE;SERVICOS;SAO LUIZ DO PARAITINGA;SP;SUDESTE;ATIVA;;;;;
00681725000192;1995-06-06;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;VAREJO;COMERCIO;GUARULHOS;SP;SUDESTE;ATIVA;;;;;
23404921000115;2015-10-04;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;VAREJO;COMERCIO;BRASILIA;DF;CENTRO-OESTE;ATIVA;;;;;
41965727000190;2021-05-17;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS SOB REGIME DE FRETAMENTO MUNICIPAL;TRANSPORTE;SERVICOS;MURIAE;MG;SUDESTE;ATIVA;;;;;
28371156000106;2017-08-08;ATIVIDADES DE CONTABILIDADE;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;CASCAVEL;PR;SUL;ATIVA;;;;;
08426091000133;2006-11-09;CULTIVO DE OUTRAS OLEAGINOSAS DE LAVOURA TEMPORARIA NAO ESPECIFICADAS ANTERIORMENTE;PRODUTOS DE AGROPECUARIA;AGROPECUARIA;ITATIBA;SP;SUDESTE;ATIVA;;;;;
29286741000162;2017-12-18;FABRICACAO DE TINTAS VERNIZES ESMALTES E LACAS;QUIMICA-PETROQUIMICA;INDUSTRIA;VALINHOS;SP;SUDESTE;ATIVA;;;;;
90347840004105;2001-12-13;INSTALACAO MANUTENCAO E REPARACAO DE ELEVADORES ESCADAS E ESTEIRAS ROLANTES;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;SAO JOSE DOS CAMPOS;SP;SUDESTE;ATIVA;;;;;
35449556000144;2019-11-07;COMERCIO VAREJISTA DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;VAREJO;COMERCIO;SAO PAULO;SP;SUDESTE;ATIVA;;;;;
19059247000101;2013-10-13;REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;SAO PAULO;SP;SUDESTE;ATIVA;;;;;
38350413000179;2020-09-04;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;CACAPAVA DO SUL;RS;SUL;ATIVA;;;;;
40986014000140;2021-02-24;OUTRAS ATIVIDADES DE ENSINO NAO ESPECIFICADAS ANTERIORMENTE;SERVICOS DE EDUCACAO;SERVICOS;FOZ DO IGUACU;PR;SUL;ATIVA;;;;;
22342826000171;2015-04-28;TRANSPORTE RODOVIARIO DE CARGA EXCETO PRODUTOS PERIGOSOS E MUDANCAS MUNICIPAL;TRANSPORTE;SERVICOS;JAU;SP;SUDESTE;ATIVA;;;;;
32450214000156;2019-01-15;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS MINIMERCADOS MERCEARIAS E ARMAZENS;VAREJO;COMERCIO;PINDAMONHANGABA;SP;SUDESTE;ATIVA;;;;;
70089032000190;1994-05-04;HOTEIS;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;GARANHUNS;PE;NORDESTE;ATIVA;;;;;
10303149000101;2008-08-27;ARTES CENICAS ESPETACULOS E ATIVIDADES COMPLEMENTARES NAO ESPECIFICADAS ANTERIORMENTE;SERVICOS DIVERSOS;SERVICOS;ALTINHO;PE;NORDESTE;ATIVA;;;;;
13666432000188;2011-05-18;OUTRAS ATIVIDADES DE SERVICOS PESSOAIS NAO ESPECIFICADAS ANTERIORMENTE;SERVICOS DIVERSOS;SERVICOS;CUIABA;MT;CENTRO-OESTE;ATIVA;;;;;
32027345000125;2018-11-14;COMERCIO VAREJISTA ESPECIALIZADO DE PECAS E ACESSORIOS PARA APARELHOS ELETROELETRONICOS PARA USO DOMESTICO EXCETO INFORMATICA E COMUNICACAO;VAREJO;COMERCIO;MACEIO;AL;NORDESTE;ATIVA;;;;;
13649820000150;2011-05-16;CONFECCAO SOB MEDIDA DE PECAS DO VESTUARIO EXCETO ROUPAS INTIMAS;BENS DE CONSUMO;INDUSTRIA;JUAZEIRO DO NORTE;CE;NORDESTE;ATIVA;;;;;
